citric acid;free sulfur dioxide;alcohol
.4;11;8.7
.48;26;10.6
.22;12;9.2
.63;6;10.8
.71;6;11.8
.5;19;11
.53;6;12
.66;6;13.3
.38;24;10.8
.42;11;9.4
.68;17;10
.42;11;9.4
.42;11;9.4
.28;23;9.2
.07;11;9.7
.26;23;9.2
.15;17;9.6
.26;23;9.2
.31;16;10
.05;12;12.9
.68;17;10
.52;6;9.5
.61;13;9.1
.65;6;9.9
.76;7;13
.02;68;9.9
.59;13;11
.59;13;11
.22;9;9.4
.02;68;9.9
.3;20;10.8
.54;19;10.5
.49;10;10.5
.05;15;9.1
.46;11;10.1
.47;9;10.8
.66;12;10.8
.58;6;11.3
.49;26;9.6
.34;26;9.5
.35;23;9.5
.16;15;9.3
.53;6;11.7
.34;24;9.5
.24;31;9.3
.64;6;11.7
.12;34;10.5
.51;7;10.4
0;34;9.9
.33;35;11.8
.03;32;12.3
.2;15;10.9
.47;6;11
.2;15;10.9
.03;32;12.3
.08;19;11.4
.22;6;10.6
.33;9;9.3
.63;13;10.4
.47;6;11
.35;21;9.2
.69;12;12.8
.63;6;9.5
.55;22;9.9
.63;6;9.5
.3;38;10.2
.73;6;11.2
.55;22;9.9
.18;7;9.3
.72;6;9.8
.65;7;11.3
.76;6;11.2
.49;11;11.6
.01;5;12.5
.1;6;10.1
.6;31;10.5
.29;6;11.2
.22;7;10.2
.69;17;10.8
.69;17;10.8
.53;9;9.1
.03;18;10
.63;5;11.2
.4;21;11.1
.67;6;13.4
.39;5;10.3
.21;29;9.6
.63;5;11.2
.66;10;9
.52;14;11.3
.22;6;9.3
.68;10;11.8
.7;25;9
.54;5;9.2
.4;10;9.7
.42;21;11.5
.45;7;14
.69;6;9.2
.02;36;9.8
.65;15;10.6
.42;25;11.4
.55;25;10.4
.55;5;10.6
.51;10;9.4
.24;5;10.2
.41;6;9.7
.49;6;11
.24;5;10.2
.11;6;10.1
.39;6;9.2
.56;6;11.7
.59;6;9.4
.6;7;9.4
.68;6;13.4
.39;6;10
.39;6;10
.36;5;10
.55;35;10.8
.4;10;10.2
.27;24;10.6
.5;12;13.3
.51;13;13.4
.31;23;11.6
.23;28;12.1
.53;5;11
.25;14;9
.32;43;11.1
.53;5;11
.31;23;11.6
.25;14;9
.73;38;12
.73;38;12
.47;6;10.9
.42;6;10.8
.63;10;12.5
.46;6;10.8
.55;6;9.5
.31;26;10.2
.75;23;11.4
.49;19;9.5
.31;26;10.2
.48;15;9.7
.64;6;11.8
.64;6;11.8
.49;34;9.3
.49;5;11.9
.49;5;8.4
.49;11;11.7
.49;39;11
.49;15;10
.49;16;9.1
.49;47;9.8
.49;38;9.4
.49;23;9.5
.24;29;9.9
.49;39;11
.49;33;11.4
.49;32;8.7
.24;6;9.4
.24;1;10.3
.49;12;10.3
.49;12;10.3
.24;15;12.8
.24;13;10
.24;1;10.3
.24;6;9.4
.24;5;10.7
.49;5;12
.74;5;11.2
.24;20;9.6
.49;5;11
.24;5;9.9
.24;16;11
.74;6;8.4
.49;38;9.1
.24;10;9.5
.49;6;10.7
.49;27;10.4
.49;6;9.4
.01;9;9.5
.24;14;10
.24;14;10
.24;32;11.5
.49;10;11.1
.49;10;11.1
.49;10;11.7
.49;10;11.1
.49;10;11.7
.49;6;12.7
.49;5;11.4
.49;26;9.2
.49;41;9.2
.49;25;10.1
.49;6;12.7
.49;5;11.4
.24;5;9
.24;5;9
.49;5;10.7
.24;19;11.7
.49;10;11
.24;19;11.7
.49;10;10.4
.49;14;9.6
.49;20;10
.49;28;10.2
.24;6;10
.49;18;9.5
.49;17;9.8
.49;18;9.8
.49;5;9.6
.49;5;9.6
.49;5;9.2
.49;10;9.9
.49;54;10.7
.24;8;9.6
.49;16;10.6
.24;18;9.3
.24;19;14
.49;5;10.5
.49;21;9.7
.49;23;11.5
.49;21;9.7
.58;9;9
.17;20;9.5
.41;30;9.3
.51;6;9.3
.58;5;10
.18;5;9.8
.45;11;9.3
.27;7;10
.52;12;9
0;6;9.3
.52;12;9
.13;14;9.1
.13;6;9.2
.48;10;12.2
.41;26;10.5
.37;11;10.4
.19;15;12.7
.54;25;9.2
.55;5;9.4
0;18;10
.38;10;9.8
.18;10;10.2
.5;28;9.7
.5;28;9.7
.51;14;9.8
.5;4;10.2
.41;6;9.3
.24;16;9.4
.23;14;9.4
.22;9;9.5
.25;21;12.1
0;21;10.2
0;21;10.2
.29;5;9.1
.29;5;9.1
.26;7;9.3
.23;20;9.3
.26;7;9.3
.54;5;9.5
.14;21;10.5
.22;11;11.3
.21;46;9.5
0;24;9.7
.28;30;9.4
.27;31;9.4
.12;7;10.2
.35;25;10.3
.45;16;9.4
.44;21;9.5
.45;16;9.4
.44;21;9.5
.45;16;9.4
.1;5;10.1
.05;6;10.1
.01;5;11
.3;10;11.2
.27;24;11.3
.39;8;9.6
.25;35;11.2
.65;22;14.9
.59;9;12
.47;7;9.5
.17;20;9.4
.39;8;9.6
.59;23;10.5
.07;5;9.6
.02;5;11
.07;5;9.6
.31;15;9
.06;9;9.6
.46;5;10.2
.52;15;10.2
.14;25;9.7
.36;6;9.5
.45;6;9.2
.43;15;11
.45;6;9.2
.24;30;10
.21;5;9.5
.34;32;9.5
.21;5;9.5
.41;7;9.3
.39;12;10.2
.41;7;9.3
.11;12;9.9
.1;45;10
.45;20;9.6
.58;15;9
.23;16;10.2
.31;32;9.8
.23;5;11.3
.32;35;9.4
.23;5;11.3
.18;13;9.1
.23;13;9.7
.04;4;9.4
.48;5;9.4
0;5;10.7
.24;12;9.8
.51;16;9
.32;21;9.4
.31;24;9.4
.02;18;12.8
.02;8;9.5
.02;8;9.5
.28;18;9.7
.55;5;10.8
.43;26;10.1
.02;8;9.5
.02;9;9.4
.48;22;9.6
.04;4;9.7
.15;11;9.9
.08;10;10
.19;16;10.5
.12;11;11.6
.47;13;10
.43;21;10.1
.34;16;9.5
0;13;9.4
.36;10;9.4
.28;21;9.8
.18;13;9.2
.36;10;9.4
.11;12;10
.04;10;9.6
0;17;9.5
.04;10;9.6
.24;35;9.2
.08;15;10
.3;36;9.5
.1;5;11.2
.17;5;10.4
.09;18;11.1
.02;4;9.5
.02;4;9.5
.03;27;12.7
.66;12;9.6
.13;4;11.5
.03;10;9.6
.34;16;9.5
.2;9;9.3
.1;11;9.5
.1;11;9.5
0;19;9.3
.23;28;9.2
0;19;9.3
.29;12;11.5
.24;28;9.5
0;9;9.2
.58;25;10
.54;21;9.5
.18;12;9.5
.38;12;9
.4;16;9.4
.18;12;9.6
.18;12;9.5
.1;17;9.5
.1;17;9.5
.13;24;9.4
.1;17;9.5
.68;14;9.1
.07;22;10.7
.01;15;11.2
0;10;9.8
0;10;9.8
.21;33;9.2
.25;9;9.7
.26;5;9.6
0;8;10
.26;5;9.6
.11;11;9.5
.1;12;9.5
.18;12;9.4
.32;13;9.5
.02;24;9.7
.01;7;9.6
.02;24;9.7
.26;23;9.4
.27;23;9.4
.29;1;9.5
.3;2;9.5
0;7;10
.18;5.5;10.3
.17;6;10.3
.3;7;10.5
.03;21;9.8
0;12;9.4
.14;9;9.8
.05;26;10
.14;9;9.8
.01;20;9.8
.41;11;9.5
.41;11;9.5
.24;19;10.1
.24;19;10.1
.17;21;9.3
.43;18;9.7
.17;25;9.6
.02;17;9.7
0;7;10.8
.54;7;12.5
.3;7;10.2
.31;24;9.6
.44;21;10.8
.34;5;10.7
.34;5;10.7
.08;26;9.4
.09;8;10
0;14;12.9
.08;14;9.6
.22;4;9.9
.4;4;12.8
.39;4;12.5
.4;4;12.8
.12;4;9.2
.31;4;10.3
.1;4;10.5
.55;7;10.9
.33;20;10.8
.24;4;11.4
.54;19;11.3
.33;20;10.8
.19;8;10.5
.42;19;11.9
0;21;9.4
.15;9;9.6
0;9;9.7
0;16;14
.13;15;9.8
.13;15;9.8
.28;6;10.3
.14;15;10.7
.34;4;11
.14;15;10.7
.09;34;12.7
.08;16;11.1
.07;5;10.9
.08;16;11.1
.42;34;9.9
.44;36;9.9
.26;16;9.4
.1;27;9.3
.28;36;11.7
.28;36;11.7
.35;9;11.2
.04;13;10
.47;9;12.1
0;21;10.3
.45;34;10.9
.35;9;9.4
.46;26;10.6
.21;14;9.8
.21;14;9.8
.16;12;9.9
.21;14;9.8
.21;12;9.8
.44;9;9.5
.44;9;9.5
.32;26;9.7
.39;41;10.9
.39;41;10.9
.02;10;11.7
.39;41;10.9
.34;16;11.3
.47;17;10.6
.22;15;11.2
.06;15;9.5
.66;15;11.5
.32;7;10.4
.06;17;9.7
.06;15;9.5
.07;16;9.7
.22;13;11.3
.23;13;11.2
.22;15;11.2
.03;27;10.9
.01;31;11.8
.03;36;10.6
.24;28;10
.37;6;11.1
.46;6;11.8
.4;7;11.8
0;7;10.9
.01;31;11.8
.19;30;10
.04;18;9.5
.18;10;9.9
0;30;11.4
.29;14;12
.04;18;9.5
.19;30;10
.14;9;10.5
.12;8;10.4
.38;29;12.1
0;32;11.2
.34;23;9.3
.24;30;10.1
.03;16;9.7
.23;10;9.3
.03;16;9.7
.03;17;9.8
.01;27;10.7
.39;17;12.5
.01;27;10.7
.39;17;12.5
.02;6;11
.36;10;11.8
.1;16;10.8
.1;16;10.8
.06;11;10.8
.06;11;10.8
.2;15;9.5
.27;12;11
0;6;11.5
.13;34;10.8
.39;7;11.5
.48;3;13.2
.46;3;10.9
.44;4;12.2
.46;3;12.2
.39;7;11.5
.4;3;11.9
.19;7;11
.31;26;10.1
.32;32;11
.12;38;11.8
.37;10;10.5
.32;32;11
.12;38;11.8
.31;26;10.1
.27;14;11.2
.36;53;11
.33;52;10.2
.19;11;9.2
.27;14;11.2
.38;10;12
.01;8;10.5
.01;13;9.8
.29;29;9.5
.01;13;9.8
.01;8;10.5
.38;19;11.8
.38;19;11.8
.5;6;10.4
.38;23;12.9
.17;7;11.4
.52;13;12.4
.49;9;12.5
.4;13;10
.34;10;9.7
.49;11;12.1
.42;7;11.1
.58;11;12
.48;6;12.4
.45;10;11.9
.45;10;11.9
.45;10;11.9
.48;6;12.4
.4;6;11.2
.48;5;12.1
.4;6;12.2
.52;9;10.4
.52;5;11.3
.52;12;11.1
.12;25;11.3
.05;12;10
.27;18;11.1
.14;7;9.3
.02;6;9.5
.39;20;11.2
.27;18;11.1
.4;24;11
.41;6;11.9
.2;23;9.2
.43;29;12.2
.09;7;10.2
.48;6;10.9
.48;6;10.9
.5;6;11.6
.44;6;10.7
.41;7;12.1
.3;35;9.4
.3;35;9.4
.29;31;9.1
.32;9;11.3
.49;3;10.4
.3;8;10.5
.26;13;10
.32;51;12.9
.3;8;10.5
.49;3;10.4
0;7;11.3
.39;3;11.4
.3;35;9.4
.12;19;9.4
.4;14;10.9
.12;19;9.4
.28;31;9.4
.1;30;9.4
.28;31;9.4
.45;20;9.4
.06;19;10.1
0;3;12.8
0;3;12.8
.34;4;9.1
0;7;12.9
.3;6;11.5
.38;31;10.6
.33;13;11.7
.32;4;12.8
.29;27;10.3
.32;4;12.8
.33;13;11.7
.34;12;11.7
.4;12;12
.36;26;10.9
.45;7;12.3
.31;12;10.4
.15;11;10
0;22;10
.16;3;11.2
.46;14;11.4
.4;12;12.6
.37;36;12.7
.37;36;12.7
.14;10;10.4
.66;3;11.9
.66;3;11.9
.09;4;10.5
.42;3;12.3
.01;12;10.5
0;17;10.4
.32;14;12.6
0;28;11.6
.21;41;10.1
.01;12;10.5
0;9;11.5
.01;9;11
0;5;9.6
.08;14;10.4
.18;15;9.7
.34;5;10.6
.34;26;12.5
.1;20;9.2
.41;25;12.6
.21;21;11.1
0;16;10.2
.19;13;9.8
.21;21;11.1
.41;18;10.9
.33;12;12.2
0;32;11.4
0;33;10.7
.17;27;10.4
.36;3;10.9
.36;6;10.8
.17;27;10.4
.59;16;9.2
.05;19;12.9
.42;9;12.7
.27;5;9.1
.27;5;9.1
.53;3;12.1
.25;28;9.1
.57;30;11.6
.53;3;12.1
.57;3;9.9
.5;7;12.5
.44;6;11.4
.65;6;11.8
.09;5;11.8
.18;6;10.2
.08;13;12.5
.53;3;10.9
.53;3;10.9
.35;28;10.8
.45;19;11.1
.2;30;9.2
.26;33;9.5
.33;16;10.7
.2;30;9.2
.34;45;10.2
.56;3;11.4
.65;3;11
.65;3;11
.68;37.5;12.3
.56;3;11.8
.68;37.5;12.3
.3;31;9.5
.45;32;12
.3;31;9.5
.08;40;9.6
.4;3;11.6
.42;18;11.2
.54;22;9.9
.54;22;9.9
.54;42;11.8
.42;8;11.4
.09;10;11.5
.36;11;12
.09;9;10.8
.47;6;10.5
.09;9;10.8
.38;5;9.4
.45;5;12.5
.38;5;9.4
.42;23;12.4
.27;14;12
.09;18;11.2
.27;14;12
.34;16;12.4
.28;13;12.8
.42;9;12.3
.41;10;11.7
.1;4;9.5
.43;27;10.8
0;6;10
.27;23;12.3
.41;6;11
.39;3;9.5
.5;29;13.6
.07;15;11.3
.07;15;11.3
.07;15;11.3
.12;14;13.3
0;7;12.9
.34;8;13.1
0;21;12.3
0;27;12.3
.37;17;11.2
0;3;11.5
.35;13;11.3
.26;3;13.5
0;26;11.5
.33;28;10
.35;24;10.5
0;5;10.4
.21;57;9.5
.34;18;13.6
.07;10;11.2
.35;6;11.8
.43;22;11.9
.45;6;11.4
.45;6;11.4
.15;29;9.1
.24;16;9.5
.3;33;9.5
.32;24;11
.11;6;11.4
.3;16;10
.23;35;10.1
.43;31;10.4
.12;6;9.8
.45;6;11.8
.42;9;11.6
.47;6;12
.32;4;12.8
.23;16;12.5
.25;9;9.8
.35;17;11.1
0;50;11.4
.25;9;9.8
.51;45;11.8
.18;16;12.9
.43;22;10.6
.43;11;10.8
.57;6;11.1
.43;12;10.2
.42;12;11.8
.24;10;10
.24;10;10
.5;15;9.4
.26;7;10.2
.39;29;12.4
.27;8;12
.29;5;11.5
.34;5;10.5
0;26;10.8
.46;5;12.3
.31;26;9.5
.31;26;9.5
0;48;11.5
.03;23;11.2
0;6;12.7
0;17;11.4
.33;11;11
.33;11;11
.43;5;11.4
.4;41;10.5
.07;16;9.3
.23;11;10.9
.3;6;11.9
.03;6;12.2
.3;6;11.9
.23;11;10.9
.05;5;9.6
.57;6;12.5
0;6;10.8
.37;11;12.4
0;6;10.8
.12;15;9.5
.22;21;9.5
.23;23;9.5
.21;4;9.8
.26;19;10.9
.23;23;9.5
.21;4;9.8
.36;5;11.2
.39;6;11.7
.19;33;9.4
.46;24;11
.46;24;11
.46;24;11
.55;24;10
.46;24;11
.43;14;11.2
.02;8;10.4
.15;22;9.3
.02;8;10.4
.42;5;10.5
.46;6;10.4
.46;20;11.3
.31;10;9.5
.37;43;12
.31;8;10.6
.4;25;10.9
.52;17;11.5
.52;17;11.5
.22;33;9.6
.47;9;12
.49;8;10.3
.23;18;9.4
.03;27;9.2
.25;8;9.6
0;18;13.6
.29;19;9.5
.34;15;11.8
.01;48;10.8
.29;19;9.5
.37;14;9.3
.01;11;12.8
.32;6;11.5
0;7;9.4
.01;11;12.8
0;12;9.6
0;11;11.8
.2;36;9.3
.39;28;9.8
.41;15;12.2
.22;10;9.5
.25;72;10.3
.19;15;10.5
.07;15;10
.19;15;10.5
.33;22;11.1
.01;24;10.9
.01;24;10.9
.14;27;9.8
0;6;9.8
0;6;9.5
.06;20;10.9
.02;26;11
.22;43;9.2
.28;12;11
0;15;11.3
0;15;11.3
.68;19;9.3
0;17;11.2
.38;34;9.8
0;13;9.6
.32;26;11.8
.05;16;10.3
.05;16;10.3
.5;13;11.4
.31;21;9.5
.03;28;14
.01;26;14
.2;24;11.7
0;25;11.2
.2;34;9.3
.13;17;11.2
.22;13;9.5
.4;3;12
0;3;9.7
.22;13;9.5
.39;3;11.5
.2;28;10.4
.2;28;10.4
0;9;10.9
.28;17;10.2
.19;18;10.9
.5;20;10.5
.44;17;12.4
.08;3;13
.3;20;10.2
.3;20;10.2
0;6;11
.1;25;10.9
.13;14;12.4
0;6;9.7
.1;25;10.9
0;51;9.5
0;51;9.5
.14;15;12.1
0;11;12.2
0;5;10.9
0;15;12.5
.07;20;11.7
.32;4;11.2
.44;28;11.2
.21;21;9.2
.26;24;9.8
.32;22;10.1
.09;15;11.1
.32;22;10.1
.1;27;9.2
.26;24;9.8
.15;12;12.8
.21;14;10.5
.21;20;10.1
.21;24;10.1
.27;17;9.8
0;16;12.5
.46;10;11.9
.27;17;9.8
.68;18;9.1
.34;12;10.1
0;16;12.5
.42;9;11.4
.39;21;11
.24;18;10.6
.24;18;10.6
.24;18;10.6
.24;18;10.6
.11;13;9.3
.26;17;9.8
.26;17;9.8
.26;31;9.2
.1;6;9.7
.22;12;9.6
0;4;10
.02;19;12.6
0;15;9.5
0;15;9.5
0;15;9.5
.02;13;10.5
.02;13;10.5
.02;13;10.5
.02;17;10.4
.02;13;10.5
.48;8;11
.24;10;10.2
.01;5;11.4
.03;7;9.5
.03;7;9.5
0;21;10.8
.29;32;10
.01;8;11.8
.03;14;10.3
.03;14;10.3
.03;7;10
.25;5;10.1
.25;4;10.1
.24;27;11.1
.17;52;9.5
.4;6;10.0333333333333
.31;11;10.9
.14;13;10.1
.4;6;10.0333333333333
.27;11;9.8
.02;10;11.8
.09;10;9.5
.08;10;9.8
.3;9;10.5
.32;16;9.8
0;4;10.4
.51;12;9.2
.56;5;11.6
.51;12;9.2
.27;34;9.3
0;16;9.8
.26;13;9.9
.2;7;10
.26;23;12.2
.15;10;9.9
.02;11;10.8
.02;11;10.8
.09;4;9.6
.22;25;9.9
.22;25;9.9
.15;20;9.5
.25;34;9.2
.07;8;9.6
.07;8;9.6
.31;7;10.3
.02;36;9.7
0;15;12.5
.22;5;11
.06;5;9.8
.25;19;10.2
.14;27;9.2
.1;3;9.55
.1;4;9.55
.26;17;9.9
.12;13;10.2
0;10;11.1
.21;33;9.9
.21;33;9.9
.42;6;11.9
.33;3;10
.39;12;10.7
.3;18;11.3
.34;8;10.9
0;40;10.7
.36;35;12.4
0;40;10.7
0;5;11.9
.4;8;10.6
.34;8;10.9
.25;12;10.1
.59;3;9.6
0;8;9.4
.59;3;9.6
.33;21;12.1
.01;3;9.8
.21;32;9.9
.01;3;9.8
.18;24;9.4
0;39;11.4
.09;14;11
.37;8;9.6
.37;8;9.6
.37;23;12.1
.33;6;11.2
0;27;11
.4;38;11.3
.24;18;10.4
.31;13;9.9
0;3;11.7
.16;11;10.1
.37;55;9
.37;55;9
.38;27;8.5
.29;15;11.1
0;3;10.3
.02;31;11.0666666666667
.32;15;11.3
.19;19;9.56666666666667
.02;18;9.8
.2;8;11.7
.02;31;11.1
.19;19;9.6
.02;18;9.8
0;22;9.7
.01;40;9.7
.31;15;11.3
.32;15;11.3
.44;8;11
.02;37;11.6
.33;27;9
.63;7;10.9
0;9;10.9
.06;38;10.55
.33;27;9
.4;8;10.5
.35;7;11.9
.09;34;10.4
0;6;10
.03;14;10.4
.01;14;10.8
.1;34;9.7
.1;34;9.7
.32;31;10
.08;19;11
.32;31;10
.05;20;9.7
.11;8;9.7
.08;8;12.6
.6;23;11.1
.08;14;11
.5;48;8.8
.11;16;13.5666666666667
.5;48;8.8
.11;16;13.6
.05;3;10.2
.6;10;10.6
.03;6;10.1
.6;10;10.6
.54;3;10.3
.44;6;10.7
.06;4;10.9
.16;8;9.7
.21;9;10.3
.05;9;10.6
.04;5;11.4
.1;4;10.8
.49;8;12.4
.04;5;11.4
.06;6;11.95
.26;23;9.7
.09;15;10
.02;15;10.6
.26;23;9.7
.03;7;11.5
.04;7;10.8
.03;7;11.5
.04;8;9.6
.29;21;9.4
.18;15;9.8
.39;6;11
.57;5;11.4
.02;6;9.95
.05;6;10.8
.57;5;11.4
.6;17;10.6
.4;7;11.1
.21;26;9.7
.04;19;9.8
.04;11;10.4
.15;17;10.5
.21;16;9.23333333333333
.21;16;9.25
.25;23;10.6
.06;29;10.3
.46;7;10.5
.08;14;10.2
.06;29;10.3
.2;9;9.05
.25;23;10.6
.25;29;10.4
.19;22;10
.08;18;9.7
.08;18;9.6
.07;15;10.8
.49;21;10.1
.08;42;10.2
.09;9;11.3
.1;13;10.2
.13;18;9.9
.3;32;9
.14;13;11.7
.13;15;9.7
.08;24;10.3
.08;20;10.2
.09;15;12
.32;34;9.9
.08;11;11.6
.29;19;10.9
.02;29;10.75
.42;14;10.4
.43;12;11.2
.33;16;10.1
.02;17;10.2
.1;12;12.1
.5;19;10.4
.3;17;11.4
0;17;9.5
0;18;9.4
.01;32;11.3
0;18;9.4
.02;15;11
.17;15;10.55
.04;12;9.9
.02;15;11
.33;66;9.5
.26;31;9.9
.26;31;9.9
.26;31;9.9
.13;12;10.1
.13;12;10.1
.13;12;10.1
.02;26;10.9
.64;24;11.2
.13;12;10.1
.13;25;9.2
.14;15;11.5
.53;19;12.4
.14;15;11.1
.32;35;9.5
.2;15;12.5
.78;23;10.5
.4;12;11.8
.63;16;10.8
.15;13;11.9
.15;13;11.3
.09;24;11.3
.33;9;11.9
.09;24;11.3
.1;13;11.9
.29;32;9.8
.44;24;11.6
.44;22;11.5
.41;34;11.4
.11;18;10.9
.33;34;12.8
.2;29;9.2
.15;26;11.6
.09;16;11.6
.13;29;11
.08;28;9.5
.08;32;10.5
.1;39;11.2
.13;29;11
.12;32;10.2
.47;18;11
